[2026-09-23T13:42:54.713Z] GET file:///home/henry/Work/glimakra/2026HT/M2-CSS/planering_WUD1/lektion7-css-enheter.html?slide=19 → 200 (1ms, 19363B)
[2026-09-23T13:42:54.731Z] GET file:///home/henry/Work/glimakra/2026HT/M2-CSS/planering_WUD1/lektioner.css → 200 (14ms, 10459B)
[2026-09-23T13:42:54.731Z] GET file:///home/henry/Work/glimakra/2026HT/M2-CSS/planering_WUD1/lektioner.js → 200 (179ms, 2005B)
[2026-09-23T13:43:34.974Z] GET file:///home/henry/Work/glimakra/2026HT/M2-CSS/planering_WUD1/lektion7-css-enheter.html?slide=19 → 200 (58ms, 19363B)
[2026-09-23T13:43:35.037Z] GET file:///home/henry/Work/glimakra/2026HT/M2-CSS/planering_WUD1/lektioner.css → 200 (5ms, 10459B)
[2026-09-23T13:43:35.037Z] GET file:///home/henry/Work/glimakra/2026HT/M2-CSS/planering_WUD1/lektioner.js → 200 (12ms, 2005B)
[2026-09-23T13:44:32.440Z] GET file:///home/henry/Work/glimakra/2026HT/M2-CSS/planering_WUD1/lektion7-css-enheter.html?slide=18 → 200 (6ms, 19363B)
[2026-09-23T13:44:32.449Z] GET file:///home/henry/Work/glimakra/2026HT/M2-CSS/planering_WUD1/lektioner.css → 200 (4ms, 10459B)
[2026-09-23T13:44:32.449Z] GET file:///home/henry/Work/glimakra/2026HT/M2-CSS/planering_WUD1/lektioner.js → 200 (5ms, 2005B)
[2026-09-23T13:45:18.413Z] GET file:///home/henry/Work/glimakra/2026HT/M2-CSS/planering_WUD1/lektion7-css-enheter.html?slide=18 → 200 (5ms, 19320B)
[2026-09-23T13:45:18.448Z] GET file:///home/henry/Work/glimakra/2026HT/M2-CSS/planering_WUD1/lektioner.css → 200 (1ms, 10459B)
[2026-09-23T13:45:18.449Z] GET file:///home/henry/Work/glimakra/2026HT/M2-CSS/planering_WUD1/lektioner.js → 200 (2ms, 2005B)
[2026-09-23T13:45:18.885Z] GET file:///home/henry/Work/glimakra/2026HT/M2-CSS/planering_WUD1/lektion7-css-enheter.html?slide=17 → 200 (5ms, 19320B)
[2026-09-23T13:45:18.917Z] GET file:///home/henry/Work/glimakra/2026HT/M2-CSS/planering_WUD1/lektioner.css → 200 (6ms, 10459B)
[2026-09-23T13:45:18.918Z] GET file:///home/henry/Work/glimakra/2026HT/M2-CSS/planering_WUD1/lektioner.js → 200 (6ms, 2005B)
[2026-09-23T13:46:49.306Z] GET file:///home/henry/Work/glimakra/2026HT/M2-CSS/planering_WUD1/lektion7-css-enheter.html?slide=18 → 200 (1ms, ?B)
[2026-09-23T13:46:49.320Z] GET file:///home/henry/Work/glimakra/2026HT/M2-CSS/planering_WUD1/lektioner.css → 200 (?ms, ?B)
[2026-09-23T13:46:49.320Z] GET file:///home/henry/Work/glimakra/2026HT/M2-CSS/planering_WUD1/lektioner.js → 200 (1ms, ?B)
[2026-09-23T13:47:04.270Z] GET file:///home/henry/Work/glimakra/2026HT/M2-CSS/planering_WUD1/lektion7-css-enheter.html?slide=20 → 200 (14ms, 19299B)
[2026-09-23T13:47:04.286Z] GET file:///home/henry/Work/glimakra/2026HT/M2-CSS/planering_WUD1/lektioner.css → 200 (11ms, 10459B)
[2026-09-23T13:47:04.287Z] GET file:///home/henry/Work/glimakra/2026HT/M2-CSS/planering_WUD1/lektioner.js → 200 (32ms, ?B)
[2026-09-23T13:47:04.557Z] GET file:///home/henry/Work/glimakra/2026HT/M2-CSS/planering_WUD1/lektion7-css-enheter.html?slide=14 → 200 (2ms, 19299B)
[2026-09-23T13:47:04.568Z] GET file:///home/henry/Work/glimakra/2026HT/M2-CSS/planering_WUD1/lektioner.css → 200 (6ms, 10459B)
[2026-09-23T13:47:04.568Z] GET file:///home/henry/Work/glimakra/2026HT/M2-CSS/planering_WUD1/lektioner.js → 200 (6ms, 2005B)
[2026-09-23T13:48:05.638Z] GET file:///home/henry/Work/glimakra/2026HT/M2-CSS/planering_WUD1/lektion7-css-enheter.html?slide=20 → 200 (3ms, 19299B)
[2026-09-23T13:48:05.654Z] GET file:///home/henry/Work/glimakra/2026HT/M2-CSS/planering_WUD1/lektioner.css → 200 (1ms, 10459B)
[2026-09-23T13:48:05.654Z] GET file:///home/henry/Work/glimakra/2026HT/M2-CSS/planering_WUD1/lektioner.js → 200 (1ms, 2005B)
